"penalty",".metric",".estimator","mean","n","std_err",".config","lower_95","upper_95"
1e-04,"rmse","standard",119.63068467883,10,0.38494351644571,"Preprocessor1_Model01",118.876195386596,120.385173971063
0.000162377673918872,"rmse","standard",119.63068467883,10,0.38494351644571,"Preprocessor1_Model02",118.876195386596,120.385173971063
0.000263665089873036,"rmse","standard",119.63068467883,10,0.38494351644571,"Preprocessor1_Model03",118.876195386596,120.385173971063
0.00042813323987194,"rmse","standard",119.63068467883,10,0.38494351644571,"Preprocessor1_Model04",118.876195386596,120.385173971063
0.00069519279617756,"rmse","standard",119.63068467883,10,0.38494351644571,"Preprocessor1_Model05",118.876195386596,120.385173971063
0.00112883789168469,"rmse","standard",119.63068467883,10,0.38494351644571,"Preprocessor1_Model06",118.876195386596,120.385173971063
0.00183298071083244,"rmse","standard",119.63068467883,10,0.38494351644571,"Preprocessor1_Model07",118.876195386596,120.385173971063
0.00297635144163132,"rmse","standard",119.63068467883,10,0.38494351644571,"Preprocessor1_Model08",118.876195386596,120.385173971063
0.00483293023857175,"rmse","standard",119.63068467883,10,0.38494351644571,"Preprocessor1_Model09",118.876195386596,120.385173971063
0.00784759970351461,"rmse","standard",119.63068467883,10,0.38494351644571,"Preprocessor1_Model10",118.876195386596,120.385173971063
0.0127427498570313,"rmse","standard",119.63068467883,10,0.38494351644571,"Preprocessor1_Model11",118.876195386596,120.385173971063
0.0206913808111479,"rmse","standard",119.63068467883,10,0.38494351644571,"Preprocessor1_Model12",118.876195386596,120.385173971063
0.0335981828628378,"rmse","standard",119.63068467883,10,0.38494351644571,"Preprocessor1_Model13",118.876195386596,120.385173971063
0.0545559478116851,"rmse","standard",119.63068467883,10,0.38494351644571,"Preprocessor1_Model14",118.876195386596,120.385173971063
0.0885866790410082,"rmse","standard",119.63068467883,10,0.38494351644571,"Preprocessor1_Model15",118.876195386596,120.385173971063
0.143844988828766,"rmse","standard",119.63068467883,10,0.38494351644571,"Preprocessor1_Model16",118.876195386596,120.385173971063
0.233572146909012,"rmse","standard",119.63068467883,10,0.38494351644571,"Preprocessor1_Model17",118.876195386596,120.385173971063
0.379269019073225,"rmse","standard",119.63068467883,10,0.38494351644571,"Preprocessor1_Model18",118.876195386596,120.385173971063
0.615848211066026,"rmse","standard",119.639539152252,10,0.385399150694796,"Preprocessor1_Model19",118.88415681689,120.394921487614
1,"rmse","standard",119.665702738052,10,0.386240939534072,"Preprocessor1_Model20",118.908670496565,120.422734979539
